Entry	Entry name	Protein names	Organism	Length	EC number	Gene names	Pathway	Cofactor	Subunit structure [CC]
P14375	ZRAR_ECOLI	Transcriptional regulatory protein ZraR	Escherichia coli (strain K12)	441		zraR hydG b4004 JW3968			SUBUNIT: Monomer. {ECO:0000305}.
Q8U195	SUDHA_PYRFU	Sulfide dehydrogenase subunit alpha (SuDH) (EC 1.8.1.19) (Ferredoxin:NADP oxidoreductase) (FNOR) (EC 1.18.1.2)	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	474	1.8.1.19; 1.18.1.2	sudA PF1327		COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000269|PubMed:10968624, ECO:0000269|PubMed:7961401};  Note=Binds 1 FAD per subunit. {ECO:0000269|PubMed:10968624, ECO:0000269|PubMed:7961401}; COFACTOR: Name=[3Fe-4S] cluster; Xref=ChEBI:CHEBI:21137; Evidence={ECO:0000269|PubMed:10968624, ECO:0000269|PubMed:7961401};  Note=Binds 1 [3Fe-4S] cluster. {ECO:0000269|PubMed:10968624, ECO:0000269|PubMed:7961401}; COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000269|PubMed:10968624, ECO:0000269|PubMed:7961401};  Note=Binds 1 [4Fe-4S] cluster. {ECO:0000269|PubMed:10968624, ECO:0000269|PubMed:7961401};	SUBUNIT: Heterodimer of alpha and beta subunits. {ECO:0000269|PubMed:7961401, ECO:0000269|Ref.4}.
Q58400	Y993_METJA	Putative hydrogenase expression/formation protein MJ0993	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	358		MJ0993			
P25852	ZRAR_SALTY	Transcriptional regulatory protein ZraR	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	441		zraR hydG STM4174 STMF1.27			
Q9X1D7	Y1420_THEMA	Protein TM_1420	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	75		TM_1420		COFACTOR: Name=[2Fe-2S] cluster; Xref=ChEBI:CHEBI:49601;  Note=Binds 1 [2Fe-2S] cluster.;	
P42886	URE2_RHIME	Urease subunit beta (EC 3.5.1.5) (Urea amidohydrolase subunit beta)	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)	101	3.5.1.5	ureB R02473 SMc01939	PATHWAY: Nitrogen metabolism; urea degradation; CO(2) and NH(3) from urea (urease route): step 1/1. {ECO:0000255|HAMAP-Rule:MF_01954}.		SUBUNIT: Heterotrimer of UreA (gamma), UreB (beta) and UreC (alpha) subunits. Three heterotrimers associate to form the active enzyme. {ECO:0000255|HAMAP-Rule:MF_01954}.
P42887	URE3_RHIME	Urease subunit gamma (EC 3.5.1.5) (Urea amidohydrolase subunit gamma)	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)	100	3.5.1.5	ureA R02475 SMc01941	PATHWAY: Nitrogen metabolism; urea degradation; CO(2) and NH(3) from urea (urease route): step 1/1. {ECO:0000255|HAMAP-Rule:MF_00739}.		SUBUNIT: Heterotrimer of UreA (gamma), UreB (beta) and UreC (alpha) subunits. Three heterotrimers associate to form the active enzyme. {ECO:0000255|HAMAP-Rule:MF_00739}.
O34247	Y1681_WOLSU	Nucleoid-associated protein WS1681	Wolinella succinogenes (strain ATCC 29543 / DSM 1740 / LMG 7466 / NCTC 11488 / FDC 602W) (Vibrio succinogenes)	102		WS1681			SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_00274}.
P19323	FHLA_ECOLI	Formate hydrogenlyase transcriptional activator FhlA	Escherichia coli (strain K12)	692		fhlA b2731 JW2701			
P22318	HOXU_CUPNH	NAD-reducing hydrogenase HoxS subunit gamma (EC 1.12.1.2)	Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)	234	1.12.1.2	hoxU PHG089		COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000305};  Note=Binds 3 [4Fe-4S] clusters per subunit. {ECO:0000305};	SUBUNIT: Tetramer of an alpha and a gamma subunits (flavin-containing dimer), and a delta and a nickel-containing beta subunits (hydrogenase dimer).
Q83RW9	MBHS_SHIFL	Hydrogenase-1 small chain (HYD1) (EC 1.12.99.6) (Membrane-bound hydrogenase 1 small subunit) (NiFe hydrogenase)	Shigella flexneri	372	1.12.99.6	hyaA SF0973 S1040		COFACTOR: Name=[3Fe-4S] cluster; Xref=ChEBI:CHEBI:21137; Evidence={ECO:0000250};  Note=Binds 1 [3Fe-4S] cluster. {ECO:0000250}; COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000250};  Note=Binds 2 [4Fe-4S] clusters. {ECO:0000250};	SUBUNIT: Heterodimer of a large and a small subunit. {ECO:0000250}.
B9L1X1	HYPA_THERP	Hydrogenase maturation factor HypA	Thermomicrobium roseum (strain ATCC 27502 / DSM 5159 / P-2)	131		hypA trd_1871			
P0AAN2	HYBE_ECOL6	Hydrogenase-2 operon protein HybE	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	162		hybE c3729			
P64421	HYBF_SALTY	Hydrogenase maturation factor HybF	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	113		hybF STM3144			
P31878	HUPK_AZOVI	Hydrogenase expression/formation protein HupK	Azotobacter vinelandii	342		hupK			
B9M4A8	HYPA_GEODF	Hydrogenase maturation factor HypA	Geobacter daltonii (strain DSM 22248 / JCM 15807 / FRC-32)	110		hypA Geob_3220			
Q57667	HYPA_METJA	Hydrogenase maturation factor HypA	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	124		hypA MJ0214			
Q0HUQ2	HYPA_SHESR	Hydrogenase maturation factor HypA	Shewanella sp. (strain MR-7)	118		hypA Shewmr7_2165			
Q46045	MBHS_CITFR	Hydrogenase-1 small chain (HYD1) (EC 1.12.99.6) (Membrane-bound hydrogenase 1 small subunit) (NiFe hydrogenase)	Citrobacter freundii	375	1.12.99.6	hyaA		COFACTOR: Name=[3Fe-4S] cluster; Xref=ChEBI:CHEBI:21137; Evidence={ECO:0000250};  Note=Binds 1 [3Fe-4S] cluster. {ECO:0000250}; COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000250};  Note=Binds 2 [4Fe-4S] clusters. {ECO:0000250};	SUBUNIT: Heterodimer of a large and a small subunit.
P17874	DHSL_ANACY	Soluble hydrogenase 50 kDa subunit (EC 1.12.-.-) (Fragment)	Anabaena cylindrica	14	1.12.-.-				SUBUNIT: Heterodimer of a large and a small subunit.
Q46505	HNDA_DESFR	NADP-reducing hydrogenase subunit HndA (EC 1.12.1.3) (Hydrogen dehydrogenase (NADP(+)))	Desulfovibrio fructosivorans	171	1.12.1.3	hndA		COFACTOR: Name=[2Fe-2S] cluster; Xref=ChEBI:CHEBI:49601; Evidence={ECO:0000250};  Note=Binds 1 [2Fe-2S] cluster. {ECO:0000250};	SUBUNIT: Heterotetramer composed of HndA, HndB, HndC and HndD subunits. HndA and HndB could form a heterodimeric intermediate in the electron transfer between the active site of hydrogenase subunit HndD and the NADP reduction site of the reducing subunit HndC. {ECO:0000269|PubMed:16731971, ECO:0000269|PubMed:9703971}.
P80510	HC3S_ACIFR	Cytochrome c3 hydrogenase small chain (Hydrogenase) (EC 1.12.2.1) (Fragment)	Acidithiobacillus ferrooxidans (Thiobacillus ferrooxidans)	40	1.12.2.1	hoxK		COFACTOR: Name=Fe cation; Xref=ChEBI:CHEBI:24875; 	
P31899	HOXL_CUPNH	Hydrogenase expression/formation protein HoxL	Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)	107		hoxL PHG006			
Q6LY38	HDRB1_METMP	H(2)/formate:CoB-CoM heterodisulfide,ferredoxin reductase subunit B1 (EC 1.8.98.5) (EC 1.8.98.6) (CoB--CoM heterodisulfide reductase subunit B1)	Methanococcus maripaludis (strain S2 / LL)	301	1.8.98.5; 1.8.98.6	hdrB1 MMP1155	PATHWAY: Cofactor metabolism; coenzyme M-coenzyme B heterodisulfide reduction; coenzyme B and coenzyme M from coenzyme M-coenzyme B heterodisulfide: step 1/1. {ECO:0000305}.		SUBUNIT: The heterodisulfide reductase is composed of three subunits; HdrA, HdrB and HdrC. B1 and B2 subunits are interchangeable, as are the C1 and C2 subunits. The heterodisulfide reductase forms a supercomplex with formylmethanofuran dehydrogenase (Fwd), F(420)-non-reducing hydrogenase (Vhu) and formate dehydrogenase (Fdh). {ECO:0000269|PubMed:20534465, ECO:0000269|PubMed:24039260}.
P32441	HMD_METWO	5,10-methenyltetrahydromethanopterin hydrogenase (EC 1.12.98.2) (H(2)-dependent methylene-H(4)MPT dehydrogenase) (H(2)-forming N(5),N(10)-methylenetetrahydromethanopterin dehydrogenase) (N(5),N(10)-methenyltetrahydromethanopterin hydrogenase) (Fragment)	Methanothermobacter wolfeii (Methanobacterium wolfei)	19	1.12.98.2	hmd	PATHWAY: One-carbon metabolism; methanogenesis from CO(2); 5,10-methylene-5,6,7,8-tetrahydromethanopterin from 5,10-methenyl-5,6,7,8-tetrahydromethanopterin (hydrogen route): step 1/1.		
P27649	HUPD_RHILV	Hydrogenase expression/formation protein HupD	Rhizobium leguminosarum bv. viciae	202		hupD			
B9LLZ7	HYPA_CHLSY	Hydrogenase maturation factor HypA	Chloroflexus aurantiacus (strain ATCC 29364 / DSM 637 / Y-400-fl)	114		hypA Chy400_2999			
Q03007	HUPH_RHOCA	Hydrogenase expression/formation protein HupH	Rhodobacter capsulatus (Rhodopseudomonas capsulata)	275		hupH			
Q58123	HYPF_METJA	Probable carbamoyltransferase HypF (EC 6.2.-.-) (Carbamoyl phosphate-converting enzyme HypF) ([NiFe]-hydrogenase maturation factor HypF) (Hydrogenase maturation protein HypF)	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	766	6.2.-.-	hypF MJ0713	PATHWAY: Protein modification; [NiFe] hydrogenase maturation. {ECO:0000250|UniProtKB:P30131}.		
C4XS28	HYPA_DESMR	Hydrogenase maturation factor HypA	Desulfovibrio magneticus (strain ATCC 700980 / DSM 13731 / RS-1)	117		hypA DMR_21930			
Q8PUL7	HYPA_METMA	Hydrogenase maturation factor HypA	Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)	137		hypA MM_2317			
Q13BX8	HYPA_RHOPS	Hydrogenase maturation factor HypA	Rhodopseudomonas palustris (strain BisB5)	113		hypA RPD_1173			
P64419	HYPA_SALTY	Hydrogenase maturation factor HypA	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	118		hypA STM2854			
A9KYZ4	HYPA_SHEB9	Hydrogenase maturation factor HypA	Shewanella baltica (strain OS195)	117		hypA Sbal195_1911			
P69739	MBHS_ECOLI	Hydrogenase-1 small chain (HYD1) (EC 1.12.99.6) (Membrane-bound hydrogenase 1 small subunit) (NiFe hydrogenase)	Escherichia coli (strain K12)	372	1.12.99.6	hyaA b0972 JW0954		COFACTOR: Name=[3Fe-4S] cluster; Xref=ChEBI:CHEBI:21137; Evidence={ECO:0000250};  Note=Binds 1 [3Fe-4S] cluster. {ECO:0000250}; COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000250};  Note=Binds 2 [4Fe-4S] clusters. {ECO:0000250};	SUBUNIT: Heterodimer of a large and a small subunit.
P0ACE0	MBHM_ECOLI	Hydrogenase-2 large chain (HYD2) (EC 1.12.99.6) (Membrane-bound hydrogenase 2 large subunit) (NiFe hydrogenase)	Escherichia coli (strain K12)	567	1.12.99.6	hybC b2994 JW2962		COFACTOR: Name=Ni(2+); Xref=ChEBI:CHEBI:49786; Evidence={ECO:0000250};  Note=Binds 1 nickel ion per subunit. {ECO:0000250};	SUBUNIT: Heterodimer of a large and a small subunit.
O33405	MBHS_OLICO	Uptake hydrogenase small subunit (EC 1.12.99.6) (Hydrogenlyase) (Membrane-bound hydrogenase small subunit)	Oligotropha carboxidovorans (strain ATCC 49405 / DSM 1227 / KCTC 32145 / OM5)	367	1.12.99.6	hoxS OCA5_pHCG300640		COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883;  Note=Binds 2 [4Fe-4S] clusters.; COFACTOR: Name=[3Fe-4S] cluster; Xref=ChEBI:CHEBI:21137;  Note=Binds 1 [3Fe-4S] cluster.;	SUBUNIT: Heterodimer of a large and a small subunit.
P31908	HOXA_BRADU	Hydrogenase transcriptional regulatory protein HoxA	Bradyrhizobium diazoefficiens (strain JCM 10833 / IAM 13628 / NBRC 14792 / USDA 110)	485		hoxA bll6925			
P0AAN0	HYBG_SHIFL	Hydrogenase maturation factor HybG	Shigella flexneri	82		hybG SF3037 S3238	PATHWAY: Protein modification; [NiFe] hydrogenase maturation. {ECO:0000250|UniProtKB:P0AAM7}.		
E7FI44	HYD1A_PYRFU	Sulfhydrogenase 1 subunit alpha (EC 1.12.1.3) (Hydrogenase I large subunit) (NADP-reducing hydrogenase subunit HydA) (Sulfhydrogenase I subunit alpha)	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	428	1.12.1.3	hydA PF0894		COFACTOR: Name=Ni(2+); Xref=ChEBI:CHEBI:49786; Evidence={ECO:0000269|PubMed:10439073, ECO:0000269|PubMed:2538471, ECO:0000269|PubMed:7615063};  Note=Binds 1 nickel ion per heterotetramer. {ECO:0000269|PubMed:10439073, ECO:0000269|PubMed:2538471, ECO:0000269|PubMed:7615063}; COFACTOR: Name=Fe cation; Xref=ChEBI:CHEBI:24875; Evidence={ECO:0000250}; 	SUBUNIT: Heterotetramer of alpha, beta, gamma and delta subunits. The nickel-containing alpha and delta subunits constitute the hydrogenase activity. The beta and gamma subunits (flavin-containing dimer) constitute the sulfur reductase activity. {ECO:0000269|PubMed:7615063, ECO:0000269|PubMed:7704275}.
P31877	HYDE_WOLSU	Protein HydE	Wolinella succinogenes (strain ATCC 29543 / DSM 1740 / LMG 7466 / NCTC 11488 / FDC 602W) (Vibrio succinogenes)	546		hydE WS1683			
Q9UXQ8	EHAA_METTM	Probable [NiFe]-hydrogenase-type-3 Eha complex membrane subunit A	Methanothermobacter marburgensis (strain ATCC BAA-927 / DSM 2133 / JCM 14651 / NBRC 100331 / OCM 82 / Marburg) (Methanobacterium thermoautotrophicum)	98		ehaA MTBMA_c07840			SUBUNIT: Putative multisubunit membrane-bound [NiFe]-hydrogenase eha is composed of at least 20 subunits.
P0AEW0	HYCI_ECO57	Hydrogenase 3 maturation protease (EC 3.4.23.51) (HycI protease)	Escherichia coli O157:H7	156	3.4.23.51	hycI Z4025 ECs3573			SUBUNIT: Monomer. {ECO:0000250|UniProtKB:P0AEV9}.
E7FHF8	HYD2D_PYRFU	Sulfhydrogenase 2 subunit delta (EC 1.12.1.5) (Hydrogen dehydrogenase (NAD(P)(+))) (Hydrogenase-II subunit delta) (H-II delta) (NADP-reducing hydrogenase subunit ShyD) (Sulfhydrogenase II subunit delta)	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	237	1.12.1.5	shyD PF1331		COFACTOR: Name=Ni(2+); Xref=ChEBI:CHEBI:49786; Evidence={ECO:0000269|PubMed:10714990};  Note=Binds 1 nickel ion per subunit. {ECO:0000269|PubMed:10714990}; COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000269|PubMed:10714990};  Note=Binds 2 [4Fe-4S] clusters. {ECO:0000269|PubMed:10714990}; COFACTOR: Name=[3Fe-4S] cluster; Xref=ChEBI:CHEBI:21137; Evidence={ECO:0000269|PubMed:10714990};  Note=Binds 1 [3Fe-4S] cluster. {ECO:0000269|PubMed:10714990};	SUBUNIT: Dimer of heterotetramer of alpha, beta, gamma and delta subunits. The nickel-containing alpha and delta subunits constitute the hydrogenase activity. The beta and gamma subunits (flavin-containing dimer) constitute the sulfur reductase activity. {ECO:0000269|PubMed:10714990, ECO:0000269|PubMed:11265463}.
P71229	HYFR_ECOLI	DNA-binding transcriptional activator HyfR (Hydrogenase-4 transcriptional activator)	Escherichia coli (strain K12)	670		hyfR b2491 JW2476			
P0ACD8	MBHL_ECOLI	Hydrogenase-1 large chain (HYD1) (EC 1.12.99.6) (Membrane-bound hydrogenase 1 large subunit) (NiFe hydrogenase)	Escherichia coli (strain K12)	597	1.12.99.6	hyaB b0973 JW0955		COFACTOR: Name=Ni(2+); Xref=ChEBI:CHEBI:49786; Evidence={ECO:0000250};  Note=Binds 1 nickel ion per subunit. {ECO:0000250};	SUBUNIT: Heterodimer of a large and a small subunit.
P22660	HOXY_RHOOP	NAD-reducing hydrogenase HoxS subunit delta (EC 1.12.1.2) (Fragment)	Rhodococcus opacus (Nocardia opaca)	29	1.12.1.2	hoxY		COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883;  Note=Binds 2 [4Fe-4S] clusters.; COFACTOR: Name=[3Fe-4S] cluster; Xref=ChEBI:CHEBI:21137;  Note=Binds 1 [3Fe-4S] cluster.; COFACTOR: Name=[2Fe-2S] cluster; Xref=ChEBI:CHEBI:49601;  Note=Binds 1 [2Fe-2S] cluster.; COFACTOR: Name=FMN; Xref=ChEBI:CHEBI:58210; ; COFACTOR: Name=Ni(2+); Xref=ChEBI:CHEBI:49786; 	SUBUNIT: Tetramer of an alpha and a gamma subunits (flavin-containing dimer), and a delta and a nickel-containing beta subunits (hydrogenase dimer).
B5XV79	HYPA_KLEP3	Hydrogenase maturation factor HypA	Klebsiella pneumoniae (strain 342)	114		hypA KPK_1059			
Q2RGG9	HYPA_MOOTA	Hydrogenase maturation factor HypA	Moorella thermoacetica (strain ATCC 39073 / JCM 9320)	113		hypA Moth_2181			
B7JUE3	HYPA_RIPO1	Hydrogenase maturation factor HypA	Rippkaea orientalis (strain PCC 8801) (Cyanothece sp. (strain PCC 8801))	114		hypA PCC8801_0426			
Q3J0K8	HYPA_RHOS4	Hydrogenase maturation factor HypA	Rhodobacter sphaeroides (strain ATCC 17023 / 2.4.1 / NCIB 8253 / DSM 158)	113		hypA RHOS4_21080 RSP_0505			
P64420	HYPA_SALTI	Hydrogenase maturation factor HypA	Salmonella typhi	118		hypA STY2976 t2756			
Q6LWL2	HDRA_METMP	H(2)/formate:CoB-CoM heterodisulfide,ferredoxin reductase subunit A (EC 1.8.98.5) (EC 1.8.98.6) (CoB--CoM heterodisulfide reductase iron-sulfur subunit A)	Methanococcus maripaludis (strain S2 / LL)	658	1.8.98.5; 1.8.98.6	hdrA MMP1697	PATHWAY: Cofactor metabolism; coenzyme M-coenzyme B heterodisulfide reduction; coenzyme B and coenzyme M from coenzyme M-coenzyme B heterodisulfide: step 1/1. {ECO:0000305}.	COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000255|PROSITE-ProRule:PRU00711};  Note=Binds 4 [4Fe-4S] clusters per subunit. {ECO:0000255|PROSITE-ProRule:PRU00711}; COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000250|UniProtKB:Q8TM02}; 	SUBUNIT: The heterodisulfide reductase is composed of three subunits; HdrA, HdrB and HdrC. B1 and B2 subunits are interchangeable, as are the C1 and C2 subunits. The heterodisulfide reductase forms a supercomplex with formylmethanofuran dehydrogenase (Fwd), F(420)-non-reducing hydrogenase (Vhu) and formate dehydrogenase (Fdh). {ECO:0000269|PubMed:20534465, ECO:0000269|PubMed:24039260}.
Q43953	CYBH_AZOCH	Probable Ni/Fe-hydrogenase B-type cytochrome subunit	Azotobacter chroococcum mcd 1	240		hupZ			
Q3B2W3	HYPA_CHLL7	Hydrogenase maturation factor HypA	Chlorobium luteolum (strain DSM 273 / 2530) (Pelodictyon luteolum)	117		hypA Plut_1459			
P48339	HUPG_BRADU	Hydrogenase expression/formation protein HupG	Bradyrhizobium diazoefficiens (strain JCM 10833 / IAM 13628 / NBRC 14792 / USDA 110)	148		hupG bll6937			
Q45247	HUPN_BRADU	Hydrogenase nickel incorporation protein HupN	Bradyrhizobium diazoefficiens (strain JCM 10833 / IAM 13628 / NBRC 14792 / USDA 110)	381		hupN bll6949			
Q8U2E5	HYD1B_PYRFU	Sulfhydrogenase 1 subunit beta (EC 1.12.98.4) (Sulfhydrogenase I subunit beta) (Sulfur reductase subunit HydB)	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	367	1.12.98.4	hydB PF0891		COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000269|PubMed:10439073, ECO:0000269|PubMed:11265463};  Note=Binds 2 [4Fe-4S] clusters. {ECO:0000269|PubMed:10439073, ECO:0000269|PubMed:11265463};	SUBUNIT: Heterotetramer of alpha, beta, gamma and delta subunits. The nickel-containing alpha and delta subunits constitute the hydrogenase activity. The beta and gamma subunits (flavin-containing dimer) constitute the sulfur reductase activity. {ECO:0000269|PubMed:7615063, ECO:0000269|PubMed:7704275, ECO:0000269|PubMed:8389482}.
P31895	COOH_RHORU	Carbon monoxide-induced hydrogenase	Rhodospirillum rubrum	361		cooH		COFACTOR: Name=Ni(2+); Xref=ChEBI:CHEBI:49786; Evidence={ECO:0000250}; 	
P29267	HOXA_CUPNH	Hydrogenase transcriptional regulatory protein HoxA	Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)	482		hoxA PHG019			
Q2JIR9	HYPA_SYNJB	Hydrogenase maturation factor HypA	Synechococcus sp. (strain JA-2-3B'a(2-13)) (Cyanobacteria bacterium Yellowstone B-Prime)	132		hypA CYB_2545			
